,article_title,category
12,"Renowned Egyptian painter Gazbia Sirry dies at 96



World renowned Egyptian painter Gazbia Sirry died in the late evening of Wednesday at the age of 96, according to an announcement made by the Visual Arts Sector of the Ministry of Culture.",art
13,"Mohamed El-Tarawy's 'Be Yourself' solo exhibition underway at Al-Bab Gallery



Continuing until 13 November, an exhibition titled ï¿½ï¿½ï¿½Be Yourselfï¿½ï¿½ï¿½ that is being held at Al-Bab Gallery explores the world of Egyptian women while supporting their empowerment. Filled with over 40 watercolours, Mohamed El-Tarawyï¿½ï¿½ï¿½s works weave an expressive and pictorial ene",art
14,"Bibliotheca Alexandrina to hold 7th edition of Draw and Discover Competition



The Bibliotheca Alexandrina will be holding the 7th edition of its ï¿½ï¿½ï¿½Draw and Discover Competitionï¿½ï¿½ï¿½ from 28 October to ",art
15,"'Forever Is Now' strongest promotion for culture, tourism in Egypt: Hawass



Renowned Egyptian archaeologist Zahi Hawass said the Art D'Egypte exhibition titled 'Forever is Now' at the Giza Pyramids plateau is the strongest promotion for culture and tourism in the country.",art
16,"Forever Is Now: Angelina Jolie hails contemporary artwork exhibition at Giza Plateau



First exhibition of its kind in 4,500 years, the contemporary art exhibition 'Forever Is Now' was launched on Thursday at Giza Plateau and will continue until 7 November",art
17,"Egyptian artist Ibrahim El-Dessouki to take part in Saudi's inaugural Diriyah Contemporary Art Biennale



Ibrahim El-Dessouki is the only Egyptian artist to present his work at the inaugural Diriyah Biennale, in which over 70 Arab and international artists take part.",art
18,"Hana Gamal's photography exhibition at D-CAF explores loss, love, memory



Every evening from 1-22 October between 6pm and 10pm, in the nine small rooms of the Victoria Building Rooftop, visitors are invited to discover the photo exhibition Forgotten As If You Never Were by Hana Gamal.",art
19,"Free entry to Naguib Mahfouz Museum commemorating the Egyptian Nobel prize-winning novelist



The museum, which opened in July 2019, contains the works and possessions of the famed Egyptian Nobel prize-winner in literature",art
20,"My Backyard: Human body as identity at Cairo's Mashrabia Gallery



Five artists give different perceptions on human body, oscillating between real and imaginary",art
21,"Misr International University students reinvent puppeteering art in Egypt



Misr International University students reinvent puppeteering art in Egypt",art
22,"Cairo Opera's hall showcases first exhibition of Egyptian artist Sherif Nashed



Originally an ophthalmology surgeon, this is the first time for Dr. Sherif Nashed to showcase his creative work to a large audience",art
23,"Louvre Abu Dhabiï¿½ï¿½ï¿½s Childrenï¿½ï¿½ï¿½s Museum to reopen to the public this week



The museum will reopen to the public with a new exhibition that will take children on an interactive adve",art
24,"INTERVIEW: Egyptian photographer Salma Olama explores family, connection in 'Touching Lineage'



The photographer brings her own work into conversation with pictures taken by her late grandfather, Fathy Saleh",art
25,"'Creative Impact Lab Cairo' accepts art projects that address womenï¿½ï¿½ï¿½s empowerment



The chosen participants of the five-week online creative exchange is organised in collaboration with ZERO1, the US Embassy in Cairo, and Medrar for Contempora",art
26,"Venice Biennale readies for 17th Int'l Architecture Exhibition curated by Lebanese Hashim Sarkis 



The 17th Biennale Architettura revealed several details of the event that will take place between 22 May and 21 November 2021",art
27,"Paris to launch first int'l modern and contemporary art fair dedicated to Middle East, North Africa



The MENART FAIR will showcase works by Middle Eastern and North African artists and will take place between 27 and 30 May",art
28,"American University in Cairo Press releases 'The Architecture of Ramses Wissa Wassef'



The book is written by Conchita Aï¿½ï¿½orve-Tschirgi and Ehsan Abushadi, with photography by Nour El-R",art
29,"Art Alert: Mashrabia Gallery of Contemporary Art to hold exhibition of late Italian artist Marco Magrini



The exhibition titled 'Happy Islands?' is Magrini's last body of works, created shortly before his recent passing",art
30,"Egyptian artist Samar Kamel to participate in Dubai's World Art Fair



The Fair's seventh edition will take place between 7 and 10 April",art
31,Artwork from world's largest canvas painting sells for $ 62 mln in Dubai,art
32,"Photopia opens Cairo photo weekï¿½ï¿½ï¿½s second edition in Downtown



In the presence of ambassadors and with 140 photography participants from around the world, the Cairo photo weekï¿½ï¿½ï¿½s second edition opened with the theme of ï¿½ï¿½ï¿½",art
33,"Sothebyï¿½ï¿½ï¿½s London to auction two sculptures by Egyptian modern art pioneer Mahmoud Mokhtar



Ibn Al-Balad and Arous Al-Nil will be offered at Sotheby's online auction at the end of",art
34,"Art Alert: Egypt's renowned artist Ahmed Askalany to hold solo exhibition at Cairo's Demi Art gallery



Askalany's new exhibition titled 'What If?' showcases a selection of his sculptures",art
35,Winston Churchill's Moroccan landscape painting owned by Angelina Jolie sells for $11.5M,art
36,"Whirling Dervish: Egyptian artist Abdelhamid Tahoun among winners of Sony World Photography Awards



Tahounï¿½ï¿½ï¿½s 'The Mevlevi Dancer' was listed among 51 winners of the National Award segment set up by the World Photography Organisation an",art
37,"INTERVIEW: Greek miniature artist Andreas Rousounelis on his inspiration, the importance of art



Rousounelis describes his art style as hyperrealism, and his inspiration comes from Greek architecture, mostly Cyclades architecture",art
38,"Banksy's balloon girl, Kate Moss photo among top attractions at London art sale",art
39,"Art Dubai 2021 extended, dates moved, venue changed due to COVID-related restrictions



The 14th edition of Art Dubai will kick off on 29 March and span over six days instead of four",art
40,"Egypt International Art Fair announces details of its second edition



Previously scheduled to take place in the middle of this month, the international art fair will kick off on 26 February",art
41,"Art Alert: Exhibition 'The Garden' by Spanish artist Xavier Puigmartï¿½ï¿½ to open at Cairo's Mashrabia Gallery



The exhibition will showcase 36 paintings which the artist created during the isolation due to the Covid-19 pandemic in his home in the heart of Fayoum O",art
42,"Egyptian artist Huda Lutfi's work featuring Um Kalthoum on display at British Museum



Lutfi's 'Al-Sitt and her Sunglasses' is part of the newly opened exhibition celebrating the British Museum's decade of collecting contemporary art of the Middle East and North Africa",art
43,"Depth of Field: Cairo Photo Week expands in its second edition



The second edition of Cairo Photo Week will take place across four historic locations in Downtown Cairo",art
44,"Art Alert: Nile Art Gallery to launch solo exhibition by Egyptian painter Tayseer Hamed



The upcoming exhibition is titled 'Rehla' (Journey)",art
45,"Call for applications to Egypt's Mahy Khalifa Art Fund 



Operating in collaboration with Art Dï¿½ï¿½ï¿½Egypte, the Fund is offering full funding for a postgraduate art schol",art
46,Nigerian artist creates rotting exhibit as coronavirus warning,art
47,"American University in Cairo Press releases 'A History of Arab Graphic Design'



The 360-page book 'traces the people and events that were integral to the shaping of the field of graphic design in the Arab world'",art
48,"Art Alert: Ghostly impressions by Samy Elias at Cairo's Gypsum gallery



The exhibition will display blurred and manipulated images that are an abstraction of their origins",art
49,"Art Alert: Egyptian artist Ahmed Osman's solo exhibition 'Connections' at TAM gallery



In his new exhibition, contemporary artist Ahmed Osman emphasises human connections",art
50,"Angelina Jolie to auction Churchillï¿½ï¿½ï¿½s Morocco landscape at Christieï¿½ï¿½ï¿½s London



'Tower of the Koutoubia Mosque' was painted by Sir Winston Churchill in 1943 after his visit ",art
51,"'2020 Moments: A Year Lived Differently': Nat Geo Abu Dhabi photo competition shortlist announced 



The final winners will be announced later this year",art
52,"European Union delegation to Egypt: Photography competition 'A Journey to Egyptï¿½ï¿½ï¿½s Past and Future'



The EU Delegation is offering awards to the first three winners, as well as holding an exhibition featuring the top 30 ",art
53,"Egypt's culture ministry releases short documentary about artist Reda Abdel-Salam



Since the last spring's pandemic's lockdown, hundreds of videos from various culture activities have been published through multiple channels of the culture ministry's YouTube channel",art
54,"Muhanna Durra, pioneer of Jordanian artistic movement, dies at 83



Durra was the first artist to introduce expressionism, cubism, and abstract art into the Jordanian visual arts scene",art
55,"Egypt's Gypsum gallery launches Online Viewing Room with Nelly El-Sharkawyï¿½ï¿½ï¿½s Le Carnaval 



The Gypsum Online Viewing Room showcases Sharkawy's 'series of digital collage images composed of elements taken from the artistï¿½ï¿½ï¿½s large archive of photographs documenting Cairoï¿½ï¿½",art
56,"The Scheherazades of Samir Fouad at Cairo's Picasso Gallery



Fouad's oil paintings draw their inspiration from the tales of the One Thousand and One Nights",art
57,"26th Aswan Int'l Sculpture Symposium postponed to curb spread of Covid-19



For over two decades, sculptors from different nationalities and backgrounds gather by the River Nile in Aswan for a unique annual event",art
58,"Cairo's Tam Gallery for Egyptian contemporary art launches new website



The concept for TAM.Gallery goes back to 2012 when it was launched under the name of Arts-Mart Gallery and was developed as a virtual and physical space",art
59,Paris' Louvre museum visitors fell by three quarters in 2020 due to COVID crisis,art
60,"Art Alert: Renowned Egyptian artist George Bahgoury to hold solo exhibition 



Bahgoury's works will be on display at the Mashrabia Gallery of Contemporary Art",art
61,"Egypt International Art Fair to bring together artists from MidEast, N Africa



The fair will be held in Cairo from 12 to 14 February",art
62,"Uncovering the gems of recently-opened Museum of Modern Egyptian Art



Following six years of closure, one of Cairo's most important museums opened its doors to pubic last month",art
63,"Egyptian veteran painter and professor Sabry Abdel-Ghany dies at 98



Abdel-Ghany (1923-2021) is a longtime art professor who received a medal of excellence of the first class in 1985 for his appreciated academic and artistic careers",art
64,"First-ever Ramallah Art Fair opens showcasing 26 Palestinian artists



The Fair's first edition opened on 14 December 2020 and continues until 4 March 2021",art
65,"Egyptian artist Yasser Gaessa launches 'Eskendria Zaman' art exhibition



The 50-year-old artist brings his favorite Alexandrian streets memories to life through 65 paintings in different sizes",art
66,"My Favorite Things 5: An exhibition of artwork by Egyptian women torn between heart and reason



In its fifth edition, the exhibition brings together paintings, drawings, collages and installations",art
67,"Art Alert: 'Phases' exhibition by Egyptian artist Fathi Afifi to open in Access Art Space



Access Art Space is a new gallery replacing the former Townhouse Art Gallery in Cairo Downtown",art
68,"A story of humanity: Louvre Abu Dhabi announces premiere of its first short film, 'The Pulse of Time'



The film will be available to view for free on Louvre Abu Dhabiï¿½ï¿½ï¿½s YouTube c",art
69,"Arab region art competition 'Life in Times of Emergency' accepts entries



Part of the '16 Days of Activism Against Gender-based Violence' campaign, the competition accepts entries from young artists until 27 November",art
70,"Art Alert: Easel and Camera gallery to showcase work by over 25 renowned Egyptian artists



Besides the Egyptian artists, the open-air exhibition will also showcase two distinguished Middle Eastern sculptors from Lebanon and Iraq",art
71,Egyptian artist crafts pictures with salt,art
72,'Weï¿½ï¿½ï¿½re in a fight to recover our cultural wealth': A Congolese man seizes African art from French ,art
73,"Cairo exhibition showcases Egyptian collection of modern art treasures including pieces by Monet, Matisse, Gauguin



Among the many works currently on display at Cairo's Aisha Fahmy palace are masterpieces by Delacroix, Gauguin, Matisse, Rodin, Monet, Manet, Pissarro and Degas",art
74,'Itï¿½ï¿½ï¿½s important to show our ingenuity': Nigerian collector promotes local artistic heritage amidst Black Lives ,art
75,"200 years of European art by the Nile: A visit to Cairo's Aisha Fahmy Palace



Creating a strong relationship between painting, sculpture and architecture, the 5th exhibition in the 'Treasures of Our Museums' series provides a unique experience to Aisha Fahmy Palace visitors",art
76,"Untamed Bodies: Egyptian artist Weaam El-Masry looks the conflicting relationship between men and women



El-Masry's solo exhibition at Gallery Misr depicts obese and anonymous characters of both sexes",art
77,"Art Alert: Maqï¿½ï¿½ï¿½ad of Sultan Qaitbey hosts 'Art in the Times of Corona'



The event opens with the 'Daughters of the Nile' sculpture e",art
78,"Street sculpture in Egypt: Art in crisis?



Heated debate on public art and visual culture has been provoked by photos of a new work by sculptor Ahmed Abdel-Karim, widely criticised on social media",art
79,'Part of me has gone': Two decades of stained glass artist's work destroyed in Beirut blast,art
80,"A spiritual and physical journey through life: An online exhibition by Egyptian artist Ibrahim El-Haddad



Serendipity is organised by Artsy and Mashrabia Gallery of Contemporary Art",art
81,"My visual diary



Rania Khallaf celebrates the visual body language that Sarah El Sammanï¿½ï¿½ï¿½s paintings",art
82,"Solidarity on the Nile



At a moment of unprecedented tension, Nihal Wahby recalls the Egyptian painting pioneer who expressed the spirit of beauty binding Egypt and Ethiopia",art
83,"Deadline extended for Egypt-based women artists to apply for 'My Favourite Things' online exhibition



The exhibition is organised by Cairo's Mashrabia Gallery of Contemporary Art",art
84,"'Mona Lisa' back at work, visitors limited as Louvre reopens



Paris tour guide Katia Besnard Rousseau said she has had no groups to show around since France gradually started coming out of its strict two-month lockdown in May",art
85,"Egypt to reopen state galleries and museums



Most of the venues scheduled for reopening operate under the culture ministry",art
86,"Art Alert: Cairo's Mashrabia Gallery to launch solo exhibition by Egyptian artist Ibrahim El-Haddad



Titled 'Serendipity', the new solo exhibition will open on 1 July",art
87,"Reopened Paris Musee dï¿½ï¿½ï¿½Orsay hopes for state support, Louvre's galleries to reopen soon but without Mona Lisa



The lock-down had cost Louvre about 40 million euros in lost ticket office revenue, while Musee dï¿½ï¿½ï¿½Orsay's losses prompt it to hope for special support fr",art
88,France arrests six over stolen Banksy artwork: Source,art
89,"Aga Khan Museum, Canada, reopens after 3-month closure



The museum reopens its galleries on Saturday 27 June.",art
90,Louvre Abu Dhabi reopens after 100-day closure,art
91,"Syrian artist Oroubah Dieb to launch new exhibition in France on World Refugee Day



Painter and sculptor Dieb will put on an exhibition at Galerie Terrain Vagh in Paris, opening on World Refugee Day",art
92,"Call for entries: 'Art in Isolation: Creativity in the Time of COVID-19' exhibit by Washington's Middle East Institute



The Middle East Institute invites artists from the Middle East, North Africa, and Turkey and its diaspora to submit artwork for the upcoming exhibition",art
93,"Egyptian artist Ahmed Badry's work acquired by Les Abattoirs museum, France



Badry's work was first exhibited at the Cairo International Biennale in 2019 where it won one of the major prizes",art
94,"Artists around the world pay tribute to George Floyd



Syrian artist Aziz Asmar said he wanted to send a message of solidarity through his mural",art
95,"Call for Egypt-based women artists: 'My Favourite Things' online exhibition



The exhibition is organised by Cairo's Mashrabia Gallery of Contemporary Art",art
96,"Trials and Trails: Egyptian artist Mona Marzouk creates hand-painted window mural for Finnish agency



The installation, launched on 10 June, is part of Helsinki curatorial agency PUBLICS' window-sited public art commissions",art
97,"Egyptian artist Mahmoud Khaled participates in online exhibition by Slovenia's Museum of Modern Art



Titled 'Viral Self-Portraits,' the online exhibition was created at the height of the COVID-19 pandemic in Slovenia's capital, when people were still self-isolating at home",art
98,Afghan artists say 'no' to discrimination and racism with George Floyd tribute mural on blast wall,art
99,"'Life cannot stop': Waleed Abdul-Khalek on Cairo's Al-Masar Gallery re-opening to the public



Taking all precautionary measures, the gallery opened its doors to the public with an exhibition commemorating pioneering third generation Egyptian artist Omar El-Nagdi (1931-2019)",art
100,"Cairo's Gypsum gallery participates in Italy Fondamenta's online Artissima



Artissima is part of a Tunir-based Fondamenta, one of Italyï¿½ï¿½ï¿½s most important contemporary art",art
101,Paris gallery seeks inspiration in ancient China's hats to enforce social distancing,art
102,Women in Egypt's Sinai sew colourful Bedouin designs on masks to combat coronavirus,art
103,Art van adds a splash of colour to drab Gaza life amid the coronavirus,art
104,"Dubai's Jameel Arts Centre reopens to the public



Yesterday's reopening of the contemporary art institution accords with Dubai Culture museums and government guidelines on coronavirus safety",art
105,"What's Your Sanctuary? Aga Khan Museum invites art lovers to submit photos, videos for exhibition



The new cultural and global activity organised by the Aga Khan Museum in Canada aims to underline the spirit of human resilience",art
106,"Adieu, Adam Henein (1929-2020)",art
107,"Mahy Khalifa Art Fund extends deadline for scholarship for Egyptian students



The fund was created in memory of Mahy Khalifa, an art lover and collector",art
108,"Louvre, Franceï¿½ï¿½ï¿½s most visited museum plans to re-open its doors in earl",art
109,"Art D'ï¿½ï¿½gypte launches YouTube channel, podcast



The companyï¿½ï¿½ï¿½s mission is to promote Egyptian art while linking it wit",art
110,"Art Alert: New podcast talks to Egyptian artist Hany Rashed, antiquities ministry official Emad Zidan



Art D'ï¿½ï¿½gypteï¿½ï¿½ï¿½s podcast will feature separate discussions with t",art
111,"Arts Palace hall named after late renowned Egyptian sculptor Adam Henein



Henein died on 22 May 2020",art
112,"Egyptian sculpture pioneer Adam Henein dies at 91



Apart of his great art, the most significant Henein's contributions to Egypt's arts scene is founding the Aswan International Sculpture Symposium and a museum that carries his name",art
113,"Mask Mania 2020: When Egyptian visual artists use masks as canvas



ARAC for Arts and Culture invited artists to transform facemasks into art pieces",art
114,Venice Architecture Biennale postponed until 2021 due to pandemic,art
115,"Songraffiti: Egyptian pediatrician Nada Salah Amer spreads joy, hope with drawings inspired by songs



 The young pediatrician and artist finds inspiration in a wide range of songs: from Um Kalthoum and Fairouz to the Egyptian Project band and Amr Diab, alongside international hits",art
116,"Do not miss 3D virtual tours of Egyptian museums and exhibitions



The 3D virtual tours of many cultural locations and exhibitions are part of the Culture Gate website operating under Egypt's culture ministry",art
117,"In photos: Saudi graffiti artist Klakhï¿½ï¿½ï¿½s portraits on abandoned buildings



The Saudi artist, whose work has recently drawn attention on social media, paints portraits adorning streets and abandoned houses in Saudi ",art
118,"Banksy's new artwork pays tribute to health-workers during COVID-19



A British nurse is the chosen superhero in new Banksy artwork",art
119,"Van Gogh, Picasso, Hopper and Guglielmi in five famous paintings expressing loneliness, isolation



With the pandemic imposing isolation, we are experiencing emotions that have already been captured in paintings by some master artists",art
120,"Banksyï¿½ï¿½ï¿½s ï¿½ï¿½ï¿½Girl with a Pierced Eardrumï¿½ï¿½ï¿½ sees an update for the coronavirus era



A take on Vermeerï¿½ï¿½ï¿½s Girl with a Pearl Earring, Banksy adds a blue surgical",art
121,"Graffiti during lockdown: Banksyï¿½ï¿½ï¿½s stencilled rats are now running amok around the artistï¿½ï¿½ï¿½s bathroom



While staying at home, the famed street-artist does not put awa",art
122,"Unsung heroes: Swiss street artist pays tribute to essential workers during the coronavirus disease



Doctors, nurses, as well as construction workers and cashiers are among subjects of David Perez's works",art
123,"'United against Corona': Indian Council for Cultural Relations announces global visual art competition



The participants from all around the world are required to send high resolution photos of their work by 1 May 2020",art
124,"Mahy Khalifa Art Fund and Scholarship inaugurated 



Mahy Khalifa Art Fund is an art scholarship for graduate studies in Europe",art
125,"ýýýStay home. Save livesýýý: Google Doodle provides tips to help stop spread of Coronavirus



The doodleýýýs outreach is global with tips for keeping safe during COVID-19 pandemic",art
126,"Egyptian Ramses Younan's painting among highlights of Sotheby's online auction



Younan's untitled painting sold for GBP 93,750 in the recent Modern and Contemporary Middle Eastern auction",art
127,"Art Alert: Online exhibition with music and photography meeting in Egypt's Room Art Space



The exhibition is organised by ROOM Art Space & Cafe",art
128,'We can communicate through visuals': Senegal's graffiti artists join fight against coronavirus,art
129,"In Photos: Egyptian designer Moustafa Awad's posters tackle coronavirus crisis



Awad released the posters on his Facebook page",art
130,"Venice architecture biennale postponed to August due to coronavirus



Previously scheduled for 23 May, the exhibition will now open on 29 August",art
131,France's Louvre stays shut amid staff fears of virus spread,art
132,"When painting and sculpture become one: Egyptian artist Mohamed Abla's new solo exhibition



After years away from sculpture, the renowned painter Mohamad Abla returns to this art, presenting his works in a solo exhibition held at Samah Art Gallery",art
133,"Saudi's Red Sea film festival to feature exhibition highlighting Fellini-Picasso connection



The exhibition 'When Fellini Dreamt of Picasso' will be launched during the festival in March and remain on display in Jeddah for five weeks",art
134,"Two Egyptian artists to participate in site-responsive exhibition at Medina's Al-Ula, Saudi Arabia



Two Egyptian visual artists will showcase their works in a group exhibition scheduled to open 31 January",art
135,"Three Egyptian galleries to participate in Art Dubai 2020



The largest regional international art fair is scheduled to be held 25-28 March",art
136,"New exhibition at Zamalek's Art Talks gallery tells story of 20th century Egyptian art



70 works by 48 painters and sculptors are on display, giving a clear overview of Egypt's visual art history",art
137,"'A painting is like a film': Egyptian artist Essam Marouf on his Nocturne of Absence exhibition



Marouf sees his work as a journey towards contemplative tranquility, drawing on the musicality of ""living visual memory""",art
138,"Egyptian artist Heba Helmi explores secret messages of calligraphy at Cairo's NWT House



Helmi's exhibition, Talisman, opened on 4 December and runs through 15 January 2020",art
139,"Context as content: Sherif El-Azma and Ahmed Shawky's dual exhibition at Cairoï¿½ï¿½ï¿½s Sharjah Gallery



Both artists share an interest in how spaces and contexts affect experiences, highlighting contemplation as an antidote to homogeny in their show titled Inaugu",art
140,"Egypt-based French cartoonist Golo launches artistic residency in Luxor



Goloï¿½ï¿½ï¿½s brainchild, the residency invites Egyptian and international artists to the House of Gourna in",art
141,"Submission deadline extended for children's visual art competition 'Land of Turquoise'



The competition is organised by the Cultural Development Fund.",art
142,"Art Alert: Celebrating Leonardo da Vinci in Cairo with a lecture by Farid Fadel



An evening of interactive presentations of Da Vinci's art and science will be led by Egyptian painter and Da Vinci scholar Farid Fadel",art
143,"Egyptian visual artist Shahira Kamal aims to 'Bring On The Rhythm'



The multi-talented Shahira Kamal spoke to Ahram Online ahead of her first solo art exhibition, the revenues from which will fund her music production",art
144,"Programme: Event-packed CairoComix festival to kick off its 5th edition



The CairoComix festival will include numerous activities showcasing Egyptian and international artists and publishers of comics",art
145,"Darb 1718's Cairographie festival joins Carte Blanche in exploring the concept of youth



'The Multiple States of Youth' is the theme of this year's Cairographie, following the 2017 edition that carried the theme 'Transitions'",art
146,"Over 160 works by Leonardo Da Vinci attract hundreds of thousands of visitors to Paris Louvre



 The exhibition of Da Vinci's retrospective opened on 24 October and will continue until 24 February, 2020, in Paris's Louvre",art
147,"ýýýSamir Rafi Uncensoredýýý: A pioneer of Egyptian surrealism in exhibition



The painting exhibition titled ýýýSamir Rafi Uncensored,ýýý currently on display at Art Talks, captures the creative journey of a pioneer of Egyptian surrealism",art
148,Art Alert: First solo exhibition of Egyptian artist Ahmed Lesi at Cairo's Mashrabia Gallery,art
149,"Two works by 'father of modern Egyptian painting' Mahmoud Said up for auction at Sothebyï¿½ï¿½ï¿½s 



ï¿½ï¿½ï¿½Apres la Pluie' and ï¿½ï¿½ï¿½Eid Al-Adhaï¿½ï¿½ï¿½ will be part of an auction featuring a number of Middle Eastern ",art
150,"Cairo's Mashrabia Gallery to participate in the 1-54 African Contemporary Art Fair, London



Mashrabia Gallery of Contemporary Art will be showcasing works by artists Adel El-Siwi, Carmine Cartolano (QarmQart), Heba Abu El-Ella and Mustafa El-Husseiny",art
151,"El Gouna Film Festival celebrates 100th birth anniversary of novelist Ihsan Abdel-Quddous



Prominent Egyptian journalist and novelist was born on 1 January 1919 and died on 12 January 1990",art
152,"Three Egyptian artists exhibit work at 'Tea Time with my Lungs' exhibition at Soma



Marwan ElGamal, Nada Baraka and Soha Elsirgany explore the 'relationships between the human body, narratives, and spaces'",art
153,Bibliotheca Alexandrina honours 500 years of Leonardo Da Vinci,art
154,"Beirut Art Fair reinvigorates contemporary art scene in the region



A major regional and international event, the Beirut Art Fair runs 18-22 September",art
155,"'I breathe colour': Egyptian artist Halla El Shafei on her journey with pastels



Halla El Shafe is recognised by the International Pastel Journal in 2016 as one of the top 10 pastel artists worldwide",art
156,"Barry Iversonï¿½ï¿½ï¿½s solo at the new Tintera Gallery subverts collective identity and memory



Barry Iversonï¿½ï¿½ï¿½s photographs are in perfect line with the vision of Tintera, a photography consultancy with a g",art
157,"Return of the Cairo Int'l Biennale for Visual Arts with a large plethora of Egyptian and int'l artists



With its last edition taking place in 2010, the 13th Cairo International Biennale for Visual Arts opened on 10 June and will continue until 10 August at the Cairo Opera House grounds",art
158,"Cairo-based Sudanese artist Salah Elmur looks at his home-country trapped in the political turmoil 



Salah Elmur presents an exhibition of paintings under the title ï¿½ï¿½ï¿½Photos of Cotton Factory Workersï¿½ï¿½ï¿½ at Cairo's new premises of Mashra",art
159,"Egyptian artist Kamal El-Feki joins Summer Idyll in New York



Sculptor Kamal El-Feki joins 18 artists for a summer showcase in New York's Agora Gallery",art
160,"Cairo's Townhouse gallery forced to close its Rawabet Theatre



The space has been running since 2006, hosting countless plays, performances and events each year",art
161,"Belgian artist wins Cairo Biennale's top prize at awards ceremony



The Biennale awarded Belgian artist Joris Van de Moortel the grand prize, and five other artists at the opening ceremony on 11 June",art
162,"Art Alert: New space in Alexandria opens exhibition in collaboration with Soma Art



The exhibition titled al-ï¿½ï¿½g-ZAN-dree-ï¿½ï¿½ will include the works of 12 artists from Al",art
163,"Art Alert: Tahrir Cultural Centre hosts visual art group exhibition



The exhibition features 11 young and established Egyptian artists",art
164,"'Omar Al-Fayoumi in 40 years': Cafï¿½ï¿½s, portraiture, street life in paintings



Omar Al-Fayoumiï¿½ï¿½ï¿½s panoramic exhibition was held at the AUC's Tahrir Cultu",art
165,"Salah ElMur solo show at Mashrabia Gallery



This is the international Sudanese artist Salah ElMur's fourth exhibition in Cairo",art
166,"Cairo International Biennale to return in June after eight-year hiatus



The 13th edition has the theme 'Eyes East Bound' and will feature artists from 50 countries",art
167,"Art Alert: Nada Baraka's solo show at Gypsum



Titled Cosmic Truths and Tales to be Told, Baraka's latest solo presents a new body of work that expands on her practice",art
168,"Art Alert: 'We Are Data' talks and screenings at Cimatheque



The event is a collaboration between Cairotronica and the Netherlands' Impakt project",art
169,"In Lebanon, vintage film posters question Western cliches",art
170,"Art Alert: Artist talk with Youssef Ragheb at Soma Gallery



Ragheb will discuss his current show 'Smells Like Teen Spirit', which examines masculinity and social constructs",art
171,"Egyptian comic book TokTok releasing new issue



The award winning comic is released every 3 months, featuring a group of different artists",art
172,"Art Alert: Photography exhibition Kenya Aesthetics to open at Arcade gallery



The fashion photographer was inspired by Kenya's aesthetic and captures it in her photo series",art
